|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2025|82.99|87.02|87.54|93.51|93.57|93.8|98.97|103.7|110.85|114.89|117.0|116.15|
||2026|119.82||||||||||||
|01184. (Sert Kabuklu Meyve Püresi, Meyve Ezmesi Ve Macunu)|2023||||||||||||66.67|
||2024|70.86|73.73|75.21|77.84|85.36|87.05|87.56|88.28|87.75|88.77|88.99|88.46|
||2025|91.12|93.43|93.66|93.8|96.44|98.0|98.74|99.5|101.85|108.82|112.59|112.05|
||2026|115.38||||||||||||
|01185. (Çikolata, Kakao, Kakao Bazlı Gıda Ürünleri)|2023||||||||||||42.24|
||2024|44.54|47.19|47.96|51.06|55.6|57.59|58.18|65.17|70.05|68.85|75.14|79.92|
||2025|81.03|85.8|85.34|91.62|92.46|98.44|101.03|108.53|112.33|114.15|112.96|116.29|
||2026|116.7||||||||||||
|01186. (Buz, Dondurma Ve Buzlu Şerbet (Sorbe))|2023||||||||||||51.9|
||2024|62.27|70.23|73.44|75.77|78.81|77.06|77.58|77.7|76.38|76.88|78.36|76.9|
||2025|87.12|102.18|101.48|100.23|99.87|99.38|101.17|103.41|102.77|98.04|99.22|105.13|
||2026|124.47||||||||||||
|01189. (Başka Yerde Sınıflandırılmamış Tatlılar Ve Diğer Şekerlemeler)|2023||||||||||||55.88|
||2024|60.08|61.11|61.57|64.36|67.32|70.58|72.84|75.97|74.37|78.71|80.33|85.68|
||2025|87.67|92.68|96.55|96.3|98.47|100.94|100.89|100.81|104.24|105.42|105.62|110.41|
||2026|109.78||||||||||||
|0119. (Yemeye Hazır Gıdalar Ve Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri)|2023||||||||||||64.03|
||2024|66.63|71.1|71.25|72.08|76.69|75.98|79.47|81.59|83.15|84.76|86.84|89.34|
||2025|91.39|90.08|91.75|95.12|96.61|97.21|99.99|102.83|105.02|109.3|109.91|110.8|
||2026|115.11||||||||||||
|01191. (Yemeye Hazır Gıdalar (Hazır Pizza, Börek, Çorba Vb.))|2023||||||||||||58.03|
||2024|61.86|63.35|59.02|64.32|74.62|66.84|74.2|78.29|79.43|82.94|81.82|88.09|
||2025|89.09|87.17|85.31|96.99|98.86|99.42|104.94|107.43|102.94|110.0|107.61|110.24|
||2026|110.51||||||||||||
|01192. (Bebek Mamaları)|2023||||||||||||61.27|
||2024|61.53|64.37|67.8|68.0|74.18|73.12|75.9|76.3|74.93|76.64|81.04|85.25|
||2025|86.24|83.87|86.46|94.02|97.99|99.79|103.32|104.7|105.61|111.45|113.78|112.79|
||2026|117.25||||||||||||
|01193. (Tuz, Çeşniler Ve Soslar)|2023||||||||||||63.3|
||2024|64.51|68.92|71.4|73.19|76.53|78.05|77.83|80.75|80.95|84.14|85.55|86.91|
||2025|87.74|90.62|91.56|92.04|94.46|98.43|99.87|104.14|106.44|111.2|111.49|112.01|
||2026|113.37||||||||||||
|01194. (Baharatlar, Yemeklerde Kullanılan Otlar Ve Tohumlar)|2023||||||||||||67.49|
||2024|70.73|75.83|74.72|74.51|78.23|77.61|82.39|84.59|88.42|88.71|91.62|93.11|
||2025|95.86|92.52|95.45|97.59|98.04|96.75|97.57|100.31|103.97|107.04|106.44|108.46|
||2026|122.3||||||||||||
|01199. (Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri)|2023||||||||||||58.55|
||2024|64.58|71.08|69.09|70.13|74.96|74.2|79.15|80.43|80.42|82.56|80.97|85.04|
||2025|89.27|90.15|87.54|91.45|90.85|90.18|103.1|105.93|106.79|111.38|117.33|116.03|
||2026|116.46||||||||||||
|012. (Alkolsüz İçecekler)|2023||||||||||||58.47|
||2024|60.31|63.41|64.37|65.19|67.62|69.04|71.87|76.63|77.65|82.08|82.47|84.14|
||2025|87.75|88.73|90.93|91.8|94.58|95.92|99.19|104.18|108.59|111.73|111.95|114.64|
||2026|118.25||||||||||||
|0121. (Meyve Ve Sebze Suları)|2023||||||||||||57.16|
||2024|58.53|63.01|63.67|65.24|68.76|71.49|73.89|75.89|75.11|75.95|77.61|80.0|
||2025|82.19|84.68|90.81|93.74|94.55|98.03|103.11|107.77|108.2|110.9|113.27|112.75|
||2026|118.8||||||||||||
|01210. (Meyve Ve Sebze Suları)|2023||||||||||||57.16|
||2024|58.53|63.01|63.67|65.24|68.76|71.49|73.89|75.89|75.11|75.95|77.61|80.0|
||2025|82.19|84.68|90.81|93.74|94.55|98.03|103.11|107.77|108.2|110.9|113.27|112.75|
||2026|118.8||||||||||||
|0122. (Kahve Ve Kahve İkameleri)|2023||||||||||||48.6|
||2024|52.3|53.95|53.87|54.98|59.83|59.57|62.85|64.53|66.15|71.51|71.85|76.53|
||2025|84.58|82.02|87.96|91.88|94.96|99.21|102.6|108.28|111.08|111.19|111.67|114.57|
||2026|121.02||||||||||||
|01220. (Kahve)|2023||||||||||||48.6|
||2024|52.3|53.95|53.87|54.98|59.83|59.57|62.85|64.53|66.15|71.51|71.85|76.53|
||2025|84.58|82.02|87.96|91.88|94.96|99.21|102.6|108.28|111.08|111.19|111.67|114.57|
||2026|121.02||||||||||||
|0123. (Çay, Mate Çayı Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler)|2023||||||||||||61.93|
||2024|62.61|63.79|63.89|64.6|66.74|67.32|70.05|77.87|79.37|86.37|86.54|87.41|
||2025|92.21|91.23|92.53|91.55|93.62|93.47|97.01|101.96|108.06|112.01|112.58|113.78|
||2026|116.57||||||||||||
|01230. (Çay Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler)|2023||||||||||||61.93|
||2024|62.61|63.79|63.89|64.6|66.74|67.32|70.05|77.87|79.37|86.37|86.54|87.41|
||2025|92.21|91.23|92.53|91.55|93.62|93.47|97.01|101.96|108.06|112.01|112.58|113.78|
||2026|116.57||||||||||||
|0125. (Maden Suları Ve Kaynak Suları)|2023||||||||||||57.44|
||2024|60.58|64.7|66.9|67.95|70.65|72.26|75.96|79.77|82.34|84.5|84.01|85.37|
||2025|86.89|90.92|92.55|93.62|96.92|96.53|99.83|104.64|107.98|110.38|109.19|110.54|
||2026|112.43||||||||||||
|01250. (Maden Suları Ve Kaynak Suları)|2023||||||||||||57.44|
||2024|60.58|64.7|66.9|67.95|70.65|72.26|75.96|79.77|82.34|84.5|84.01|85.37|
||2025|86.89|90.92|92.55|93.62|96.92|96.53|99.83|104.64|107.98|110.38|109.19|110.54|
||2026|112.43||||||||||||
|0126. (Meşrubatlar)|2023||||||||||||59.96|
||2024|61.45|68.13|70.27|70.45|70.88|74.74|76.45|78.85|76.82|79.2|80.88|82.26|
||2025|83.1|86.58|87.16|88.92|93.3|97.5|99.16|104.11|108.99|113.77|113.98|123.42|
||2026|127.56||||||||||||
|01260. (Meşrubatlar)|2023||||||||||||59.96|
||2024|61.45|68.13|70.27|70.45|70.88|74.74|76.45|78.85|76.82|79.2|80.88|82.26|
||2025|83.1|86.58|87.16|88.92|93.3|97.5|99.16|104.11|108.99|113.77|113.98|123.42|
||2026|127.56||||||||||||
|02. (Alkollü İçecekler, Tütün Ve Tütün Ürünleri)|2023||||||||||||61.44|
||2024|64.46|64.78|64.77|70.96|74.32|74.38|78.72|82.23|85.66|85.62|85.59|85.57|
||2025|86.44|86.43|95.04|94.98|95.04|95.17|100.59|106.67|106.64|109.22|111.86|111.92|
||2026|113.63||||||||||||
|021. (Alkollü İçecekler)|2023||||||||||||52.53|
||2024|64.84|68.6|68.49|68.22|70.49|71.14|83.4|84.32|83.56|83.15|82.71|82.52|
||2025|93.05|92.92|93.69|92.81|93.32|93.79|104.83|107.56|107.18|106.98|106.55|107.32|
||2026|114.87||||||||||||
