|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2025|95.46|97.12|99.07|98.83|98.58|99.44|99.72|100.28|101.01|100.66|105.87|103.97|
||2026|101.47||||||||||||
|093. (Bahçe Ürünleri Ve Ev Hayvanları)|2023||||||||||||67.96|
||2024|73.38|66.51|75.29|80.48|76.92|84.05|83.76|83.49|88.15|71.35|87.89|91.68|
||2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|0932. (Ev Hayvanları Ve Ev Hayvanları İçin Ürünler)|2023||||||||||||67.96|
||2024|73.38|66.51|75.29|80.48|76.92|84.05|83.76|83.49|88.15|71.35|87.89|91.68|
||2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|09322. (Ev Hayvanları Ve Diğer Evcil Hayvanlar İçin Ürünler)|2023||||||||||||67.96|
||2024|73.38|66.51|75.29|80.48|76.92|84.05|83.76|83.49|88.15|71.35|87.89|91.68|
||2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|094. (Eğlence Ve Dinlence Hizmetleri)|2023||||||||||||44.85|
||2024|51.86|54.36|55.72|57.54|59.5|61.24|63.35|68.59|72.38|74.58|75.68|76.3|
||2025|84.48|87.42|90.16|94.25|95.81|98.82|101.42|105.72|108.39|110.28|111.62|111.63|
||2026|123.32||||||||||||
|0945. (Veterinerlik Ve Ev Hayvanları İçin Diğer Hizmetler)|2023||||||||||||43.64|
||2024|57.55|60.5|61.34|61.78|62.02|62.38|66.47|70.23|70.79|70.99|71.2|71.63|
||2025|92.36|95.19|96.23|96.79|97.02|97.75|98.22|103.91|104.69|105.24|106.19|106.4|
||2026|124.91||||||||||||
|09450. (Veterinerlik Ve Ev Hayvanları İçin Diğer Hizmetler)|2023||||||||||||43.64|
||2024|57.55|60.5|61.34|61.78|62.02|62.38|66.47|70.23|70.79|70.99|71.2|71.63|
||2025|92.36|95.19|96.23|96.79|97.02|97.75|98.22|103.91|104.69|105.24|106.19|106.4|
||2026|124.91||||||||||||
|0946. (Eğlence, Dinlence Ve Spor Hizmetleri)|2023||||||||||||45.54|
||2024|52.12|55.05|56.74|59.07|61.61|63.51|65.6|68.28|73.18|76.05|77.46|78.22|
||2025|86.06|89.37|90.56|92.95|94.85|97.27|100.42|105.16|108.36|110.63|112.19|112.19|
||2026|122.76||||||||||||
|09461. (Eğlence Ve Dinlence Hizmetleri)|2025||||||||||||100.0|
||2026|112.73||||||||||||
|09462. (Spor Faaliyetlerine Katılım)|2023||||||||||||45.52|
||2024|52.44|55.68|57.54|59.95|62.67|64.43|66.26|67.81|72.39|75.4|77.26|77.9|
||2025|86.8|90.08|91.35|94.18|96.2|98.27|101.03|103.77|106.97|109.16|110.79|111.4|
||2026|120.75||||||||||||
|09463. (Spor Faaliyetlerine Seyir Amaçlı Katılım)|2023||||||||||||45.39|
||2024|46.34|44.2|43.05|43.98|43.69|47.9|54.13|75.31|85.38|86.07|79.97|82.82|
||2025|75.55|79.22|79.32|75.5|75.56|83.08|91.76|125.01|128.11|131.53|132.04|123.32|
|0947. (Şans Oyunları)|2023||||||||||||39.56|
||2024|44.38|44.38|44.38|44.38|44.38|46.03|47.01|65.15|65.15|65.15|65.15|65.15|
||2025|67.47|67.72|83.18|102.15|102.15|111.05|111.05|111.05|111.05|111.05|111.05|111.05|
||2026|118.23||||||||||||
|09470. (Şans Oyunları)|2023||||||||||||39.56|
||2024|44.38|44.38|44.38|44.38|44.38|46.03|47.01|65.15|65.15|65.15|65.15|65.15|
||2025|67.47|67.72|83.18|102.15|102.15|111.05|111.05|111.05|111.05|111.05|111.05|111.05|
||2026|118.23||||||||||||
|095. (Kültürel Mallar)|2023||||||||||||71.77|
||2024|74.47|78.61|83.62|85.25|87.9|88.73|89.03|91.38|92.68|93.53|93.64|94.08|
||2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|0951. (Müzik Enstrümanları)|2023||||||||||||71.77|
||2024|74.47|78.61|83.62|85.25|87.9|88.73|89.03|91.38|92.68|93.53|93.64|94.08|
||2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|09510. (Müzik Enstrümanları)|2023||||||||||||71.77|
||2024|74.47|78.61|83.62|85.25|87.9|88.73|89.03|91.38|92.68|93.53|93.64|94.08|
||2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|096. (Kültürel Hizmetler)|2023||||||||||||50.16|
||2024|54.41|56.81|59.61|62.77|66.32|68.0|70.42|72.35|74.23|75.11|76.65|77.35|
||2025|88.05|91.42|92.49|96.03|99.95|101.06|102.93|104.02|105.11|105.6|106.24|107.12|
||2026|111.11||||||||||||
|0961. (Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler)|2023||||||||||||51.62|
||2024|56.18|59.94|62.77|65.6|66.28|67.93|69.47|69.74|70.8|77.4|79.46|82.48|
||2025|87.44|90.05|90.83|97.01|98.97|100.75|102.13|102.53|103.21|106.35|109.05|111.67|
||2026|113.37||||||||||||
|09610. (Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler)|2023||||||||||||51.62|
||2024|56.18|59.94|62.77|65.6|66.28|67.93|69.47|69.74|70.8|77.4|79.46|82.48|
||2025|87.44|90.05|90.83|97.01|98.97|100.75|102.13|102.53|103.21|106.35|109.05|111.67|
||2026|113.37||||||||||||
|0963. (Fotoğrafçılık Hizmetleri)|2023||||||||||||43.51|
||2024|54.38|57.28|59.35|60.72|63.01|64.99|67.6|70.97|73.65|75.29|76.63|78.01|
||2025|86.39|91.59|92.86|94.4|96.98|98.67|101.52|104.29|106.83|107.97|108.75|109.74|
|09630. (Fotoğrafçılık Hizmetleri)|2023||||||||||||43.51|
||2024|54.38|57.28|59.35|60.72|63.01|64.99|67.6|70.97|73.65|75.29|76.63|78.01|
||2025|86.39|91.59|92.86|94.4|96.98|98.67|101.52|104.29|106.83|107.97|108.75|109.74|
|0969. (Diğer Kültürel Hizmetler)|2023||||||||||||50.62|
||2024|53.91|56.04|58.92|62.35|66.48|68.12|70.64|72.62|74.5|74.42|75.9|76.17|
||2025|88.41|91.68|92.8|96.05|100.57|101.46|103.3|104.29|105.26|105.11|105.29|105.77|
||2026|111.5||||||||||||
|09690. (Diğer Kültürel Hizmetler)|2023||||||||||||50.62|
||2024|53.91|56.04|58.92|62.35|66.48|68.12|70.64|72.62|74.5|74.42|75.9|76.17|
||2025|88.41|91.68|92.8|96.05|100.57|101.46|103.3|104.29|105.26|105.11|105.29|105.77|
||2026|111.5||||||||||||
|097. (Gazete, Kitap Ve Kırtasiye Malzemeleri)|2023||||||||||||58.19|
||2024|63.77|69.37|71.87|73.03|75.57|76.87|79.65|83.42|85.13|86.72|87.76|89.7|
||2025|91.35|92.02|93.41|94.63|96.28|97.22|101.19|103.92|105.55|107.14|108.32|108.97|
||2026|110.8||||||||||||
|0971. (Kitaplar)|2023||||||||||||57.64|
||2024|63.76|69.01|70.56|72.87|73.35|75.12|78.58|83.17|84.98|86.29|88.26|90.54|
||2025|91.69|92.66|93.75|94.71|95.18|95.44|100.82|103.31|106.04|107.56|109.3|109.54|
||2026|111.36||||||||||||
|09711. (Eğitsel Kitaplar Ve Ders Kitapları)|2023||||||||||||62.67|
||2024|69.39|75.15|76.13|77.49|77.51|79.45|84.79|89.32|90.77|91.28|92.46|92.72|
||2025|92.76|93.34|94.32|94.95|95.22|95.14|101.39|103.76|105.92|107.29|108.0|107.93|
||2026|109.25||||||||||||
|09719. (Diğer Kitaplar)|2023||||||||||||49.69|
||2024|54.9|59.38|61.33|64.31|65.15|66.67|68.29|72.64|74.65|76.57|79.1|82.95|
||2025|88.0|90.31|91.78|93.9|95.07|96.48|98.85|101.73|106.46|108.49|113.83|115.1|
||2026|118.3||||||||||||
|0972. (Gazeteler Ve Süreli Yayınlar)|2023||||||||||||43.97|
||2024|49.3|54.69|55.65|55.72|63.24|64.12|66.47|71.04|76.34|78.85|78.85|78.84|
||2025|82.55|83.22|83.27|89.94|92.31|95.75|98.06|114.07|114.15|114.49|116.09|116.09|
|09721. (Gazeteler)|2023||||||||||||42.91|
||2024|47.1|54.47|54.55|54.56|65.71|65.77|69.37|75.49|79.12|81.95|81.95|81.95|
||2025|81.02|80.97|80.97|90.53|94.3|94.36|94.18|116.77|116.77|116.8|116.67|116.67|
|09722. (Dergiler Ve Süreli Yayınlar)|2023||||||||||||46.74|
||2024|54.51|55.83|58.63|58.84|58.83|61.45|61.18|62.58|71.43|73.29|73.29|73.29|
||2025|85.29|87.25|87.39|88.89|88.76|98.24|105.02|109.25|109.45|110.35|115.06|115.06|
|0974. (Kırtasiye Ve Çizim Malzemeleri)|2023||||||||||||63.33|
||2024|67.89|74.25|79.14|78.24|83.62|84.04|85.54|87.43|87.9|89.79|89.24|91.03|
||2025|93.26|93.19|95.71|95.89|100.19|102.03|103.07|102.26|101.69|103.83|103.5|105.37|
||2026|107.17||||||||||||
|09740. (Kırtasiye Ve Çizim Malzemeleri)|2023||||||||||||63.33|
||2024|67.89|74.25|79.14|78.24|83.62|84.04|85.54|87.43|87.9|89.79|89.24|91.03|
||2025|93.26|93.19|95.71|95.89|100.19|102.03|103.07|102.26|101.69|103.83|103.5|105.37|
||2026|107.17||||||||||||
|098. (Paket Turlar Ve Tatiller)|2023||||||||||||68.4|
||2024|71.22|79.17|82.57|82.22|83.9|84.73|84.24|83.48|83.99|84.54|86.52|88.23|
||2025|91.77|90.56|94.32|97.4|98.12|97.97|100.31|101.91|103.28|106.63|107.99|109.74|
||2026|112.1||||||||||||
|0980. (Paket Turlar Ve Tatiller)|2023||||||||||||68.4|
||2024|71.22|79.17|82.57|82.22|83.9|84.73|84.24|83.48|83.99|84.54|86.52|88.23|
||2025|91.77|90.56|94.32|97.4|98.12|97.97|100.31|101.91|103.28|106.63|107.99|109.74|
||2026|112.1||||||||||||
|09800. (Paket Turlar Ve Tatiller)|2023||||||||||||68.4|
||2024|71.22|79.17|82.57|82.22|83.9|84.73|84.24|83.48|83.99|84.54|86.52|88.23|
||2025|91.77|90.56|94.32|97.4|98.12|97.97|100.31|101.91|103.28|106.63|107.99|109.74|
||2026|112.1||||||||||||
|10. (Eğitim Hizmetleri)|2023||||||||||||37.28|
||2024|38.46|43.37|49.04|50.5|53.34|55.19|55.96|62.3|71.16|71.39|71.4|71.44|
||2025|76.89|84.52|88.48|90.49|91.57|95.67|98.22|100.25|118.19|118.29|118.64|118.79|
||2026|126.64||||||||||||
|101. (Okul Öncesi Ve Temel Eğitim (İlkokul))|2023||||||||||||34.72|
||2024|35.93|43.24|52.48|54.8|59.21|61.83|62.75|64.2|65.2|65.26|65.26|65.26|
||2025|73.0|85.16|91.1|93.63|95.16|101.68|105.48|108.01|111.7|111.7|111.7|111.7|
||2026|122.26||||||||||||
|1010. (Okul Öncesi Ve Temel Eğitim (İlkokul))|2023||||||||||||34.72|
||2024|35.93|43.24|52.48|54.8|59.21|61.83|62.75|64.2|65.2|65.26|65.26|65.26|
||2025|73.0|85.16|91.1|93.63|95.16|101.68|105.48|108.01|111.7|111.7|111.7|111.7|
||2026|122.26||||||||||||
|10101. (Okul Öncesi Eğitim)|2025||||||||||||100.0|
||2026|104.52||||||||||||
|10102. (İlkokul Eğitimi (Temel Eğitim))|2023||||||||||||34.72|
||2024|35.93|43.24|52.48|54.8|59.21|61.83|62.75|64.2|65.2|65.26|65.26|65.26|
||2025|73.0|85.16|91.1|93.63|95.16|101.68|105.48|108.01|111.7|111.7|111.7|111.7|
||2026|125.14||||||||||||
|102. (Ortaöğretim Eğitimi (Ortaokul Ve Lise))|2023||||||||||||34.51|
||2024|36.01|43.74|53.01|55.19|59.52|62.05|63.01|64.27|65.03|65.08|65.08|65.08|
||2025|73.42|85.22|91.33|94.4|95.78|101.89|105.73|108.05|111.05|111.05|111.05|111.05|
||2026|124.74||||||||||||
|1020. (Ortaöğretim Eğitimi (Ortaokul Ve Lise))|2023||||||||||||34.51|
||2024|36.01|43.74|53.01|55.19|59.52|62.05|63.01|64.27|65.03|65.08|65.08|65.08|
||2025|73.42|85.22|91.33|94.4|95.78|101.89|105.73|108.05|111.05|111.05|111.05|111.05|
||2026|124.74||||||||||||
|10200. (Ortaöğretim Eğitimi (Ortaokul Ve Lise))|2023||||||||||||34.51|
||2024|36.01|43.74|53.01|55.19|59.52|62.05|63.01|64.27|65.03|65.08|65.08|65.08|
||2025|73.42|85.22|91.33|94.4|95.78|101.89|105.73|108.05|111.05|111.05|111.05|111.05|
||2026|124.74||||||||||||
|104. (Yükseköğretim Eğitimi)|2023||||||||||||39.51|
||2024|39.51|39.51|39.51|39.51|39.51|39.51|39.51|56.57|82.18|82.18|82.18|82.18|
||2025|82.18|82.18|82.18|82.18|82.18|82.18|82.18|83.66|135.26|135.26|135.26|135.26|
||2026|135.26||||||||||||
|1040. (Yükseköğretim Eğitimi)|2023||||||||||||39.51|
||2024|39.51|39.51|39.51|39.51|39.51|39.51|39.51|56.57|82.18|82.18|82.18|82.18|
||2025|82.18|82.18|82.18|82.18|82.18|82.18|82.18|83.66|135.26|135.26|135.26|135.26|
||2026|135.26||||||||||||
|10400. (Yükseköğretim Eğitimi)|2023||||||||||||39.51|
||2024|39.51|39.51|39.51|39.51|39.51|39.51|39.51|56.57|82.18|82.18|82.18|82.18|
||2025|82.18|82.18|82.18|82.18|82.18|82.18|82.18|83.66|135.26|135.26|135.26|135.26|
||2026|135.26||||||||||||
|105. (Seviyeye Göre Tanımlanamayan Eğitim)|2023||||||||||||51.41|
||2024|55.44|59.06|60.01|61.63|64.43|68.55|70.95|73.34|77.24|79.84|79.93|80.53|
||2025|85.05|88.61|90.96|93.19|96.06|99.69|102.08|103.62|106.18|107.49|112.47|114.58|
|1050. (Seviyeye Göre Tanımlanamayan Eğitim)|2023||||||||||||51.41|
||2024|55.44|59.06|60.01|61.63|64.43|68.55|70.95|73.34|77.24|79.84|79.93|80.53|
||2025|85.05|88.61|90.96|93.19|96.06|99.69|102.08|103.62|106.18|107.49|112.47|114.58|
|10501. (Özel Ders)|2023||||||||||||53.87|
||2024|54.67|55.7|56.43|56.97|58.1|62.52|66.32|68.77|71.54|75.04|75.52|75.72|
||2025|76.71|77.82|78.34|84.16|90.17|95.65|102.99|106.63|114.08|120.41|126.25|126.78|
|10509. (Seviyeye Göre Tanımlanamayan Diğer Eğitim)|2023||||||||||||50.67|
||2024|55.46|59.69|60.68|62.56|65.74|69.77|71.84|74.2|78.36|80.74|80.74|81.44|
||2025|86.62|90.64|93.33|94.89|97.17|100.45|101.91|103.06|104.7|105.07|109.88|112.29|
|11. (Lokantalar Ve Konaklama Hizmetleri)|2023||||||||||||52.32|
||2024|58.69|61.88|64.32|67.34|71.06|73.26|75.7|77.23|79.34|80.48|81.11|82.21|
||2025|87.56|90.28|92.22|95.53|97.28|99.33|101.56|103.46|106.24|107.66|108.62|110.26|
||2026|116.72||||||||||||
|111. (Yiyecek Ve İçecek Sunum Hizmetleri)|2023||||||||||||51.88|
||2024|58.46|61.88|64.47|67.56|71.3|73.39|75.72|77.16|78.62|80.03|80.99|82.23|
||2025|87.68|90.62|92.78|95.98|97.54|99.31|101.38|103.3|105.32|107.09|108.54|110.45|
||2026|117.44||||||||||||
|1111. (Lokantalar, Kafeler Ve Benzerleri)|2023||||||||||||51.88|
||2024|58.46|61.88|64.47|67.56|71.3|73.39|75.72|77.16|78.62|80.03|80.99|82.23|
||2025|87.68|90.62|92.78|95.98|97.54|99.31|101.38|103.3|105.32|107.09|108.54|110.45|
||2026|117.75||||||||||||
|11111. (Lokantalar, Kafeler Ve Benzerleri, Tam Sunum Hizmeti Verenler)|2023||||||||||||51.86|
||2024|58.32|61.65|64.42|67.59|71.61|73.46|75.69|77.09|78.53|80.01|80.99|82.16|
||2025|87.67|90.51|92.77|96.12|97.61|99.35|101.5|103.45|105.36|107.06|108.49|110.11|
||2026|117.31||||||||||||
|11112. (Lokantalar, Kafeler Ve Benzerleri, Sınırlı Sunum Hizmeti Verenler)|2023||||||||||||51.98|
||2024|59.07|62.88|64.7|67.44|69.97|73.09|75.85|77.49|79.02|80.12|81.04|82.54|
||2025|87.74|91.14|92.82|95.38|97.23|99.1|100.83|102.61|105.13|107.23|108.78|112.01|
||2026|121.0||||||||||||
|1112. (Kantinler, Kafeteryalar Ve Yemekhaneler)|2025||||||||||||100.0|
||2026|102.0||||||||||||
|11121. (Üniversitelerin, Okulların Ve Kreşlerin Kafeteryaları Ve Kantinleri)|2025||||||||||||100.0|
||2026|102.0||||||||||||
|112. (Konaklama Hizmetleri)|2023||||||||||||57.0|
||2024|61.13|61.9|62.77|65.07|68.51|71.89|75.53|77.97|86.91|85.21|82.39|82.04|
||2025|86.3|86.98|86.81|91.18|94.82|99.5|103.28|105.05|115.2|113.17|109.37|108.34|
||2026|113.12||||||||||||
|1120. (Konaklama Hizmetleri)|2023||||||||||||57.0|
||2024|61.13|61.9|62.77|65.07|68.51|71.89|75.53|77.97|86.91|85.21|82.39|82.04|
||2025|86.3|86.98|86.81|91.18|94.82|99.5|103.28|105.05|115.2|113.17|109.37|108.34|
||2026|113.12||||||||||||
|11201. (Otel, Motel, Pansiyon Ve Benzeri Yerlerdeki Konaklama Hizmetleri)|2023||||||||||||56.32|
||2024|62.23|63.3|64.55|67.84|72.76|77.62|82.83|86.15|86.04|83.42|79.38|78.85|
||2025|85.05|86.04|85.78|92.24|97.68|104.61|110.19|112.8|111.95|108.82|103.17|101.64|
||2026|106.3||||||||||||
|11203. (Yatılı Okullar, Üniversiteler Ve Diğer Eğitim Kurumlarındaki Konaklama Hizmetleri)|2023||||||||||||58.0|
||2024|58.04|58.12|58.13|58.14|58.15|58.14|58.14|58.58|88.1|88.49|88.49|88.55|
||2025|88.86|88.9|88.92|88.99|88.97|89.05|89.14|89.19|121.85|122.05|122.04|122.04|
||2026|122.41||||||||||||
|12. (Sigorta Ve Finansal Hizmetler)|2023||||||||||||49.52|
||2024|58.04|61.15|63.58|66.75|69.29|67.96|72.38|74.85|76.81|78.98|81.44|84.56|
||2025|91.97|95.3|94.62|97.63|99.62|100.86|103.84|104.37|102.35|103.32|103.97|102.15|
||2026|113.2||||||||||||
|121. (Sigorta)|2023||||||||||||49.7|
||2024|57.75|60.93|63.43|66.67|69.28|67.92|72.44|74.98|76.98|79.2|81.73|84.93|
||2025|91.78|95.19|94.5|97.57|99.62|100.88|103.93|104.47|102.4|103.4|104.06|102.2|
||2026|107.16||||||||||||
|1212. (Sağlık Sigortası)|2023||||||||||||49.89|
||2024|56.94|56.36|58.59|60.49|64.49|59.52|66.0|72.62|75.9|77.19|82.65|85.16|
||2025|98.42|90.88|92.39|94.72|99.36|100.06|107.34|108.58|102.33|100.59|102.38|102.96|
||2026|105.83||||||||||||
|12120. (Sağlık Sigortası)|2023||||||||||||49.89|
||2024|56.94|56.36|58.59|60.49|64.49|59.52|66.0|72.62|75.9|77.19|82.65|85.16|
||2025|98.42|90.88|92.39|94.72|99.36|100.06|107.34|108.58|102.33|100.59|102.38|102.96|
||2026|105.83||||||||||||
|1213. (Konut Sigortası)|2023||||||||||||32.56|
||2024|66.35|66.75|69.05|71.21|73.72|75.84|77.36|78.33|79.34|80.95|81.84|82.43|
||2025|83.02|83.73|90.98|95.7|97.33|99.68|102.05|104.32|105.97|110.15|112.78|114.28|
||2026|121.44||||||||||||
|12130. (Konut Sigortası)|2023||||||||||||32.56|
||2024|66.35|66.75|69.05|71.21|73.72|75.84|77.36|78.33|79.34|80.95|81.84|82.43|
||2025|83.02|83.73|90.98|95.7|97.33|99.68|102.05|104.32|105.97|110.15|112.78|114.28|
||2026|121.44||||||||||||
|1214. (Taşımacılık Sigortası)|2023||||||||||||52.28|
||2024|56.43|60.67|63.24|66.87|69.26|67.96|72.62|74.71|76.66|79.13|81.41|85.13|
||2025|91.55|97.02|95.18|98.23|99.88|101.13|103.56|103.81|102.07|103.2|103.49|100.89|
||2026|105.78||||||||||||
|12141. (Özel Taşımacılık Sigortası)|2023||||||||||||52.28|
||2024|56.43|60.67|63.24|66.87|69.26|67.96|72.62|74.71|76.66|79.13|81.41|85.13|
||2025|91.55|97.02|95.18|98.23|99.88|101.13|103.56|103.81|102.07|103.2|103.49|100.89|
||2026|105.78||||||||||||
|122. (Finansal Hizmetler)|2023||||||||||||41.97|
||2024|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|
||2025|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|
||2026|114.78||||||||||||
|1222. (Mevduat Kabul Eden Kuruluşlara Yapılan Doğrudan Ödemeler)|2025||||||||||||100.0|
||2026|109.37||||||||||||
|12220. (Mevduat Kabul Eden Kuruluşlara Yapılan Doğrudan Ödemeler)|2025||||||||||||100.0|
||2026|109.37||||||||||||
|1229. (Diğer Finansal Hizmetler)|2023||||||||||||41.97|
||2024|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|
||2025|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|
||2026|130.87||||||||||||
|12291. (Havale Ücretleri)|2023||||||||||||41.97|
||2024|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|69.29|
||2025|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0|
||2026|130.87||||||||||||
|13. (Kişisel Bakım, Sosyal Koruma Ve Çeşitli Mal Ve Hizmetler)|2023||||||||||||59.67|
||2024|64.29|66.65|68.77|71.24|72.39|73.68|75.76|77.28|79.87|81.56|82.86|84.06|
||2025|88.94|91.75|93.66|96.23|97.81|99.51|101.42|102.24|104.85|106.07|108.05|109.47|
||2026|115.37||||||||||||
|131. (Kişisel Bakım)|2023||||||||||||59.45|
||2024|63.62|66.25|68.33|70.72|72.48|74.28|76.39|77.99|79.78|80.56|82.48|83.87|
||2025|88.54|91.13|93.68|96.55|98.4|100.14|102.51|103.36|105.25|105.55|106.79|108.11|
||2026|111.94||||||||||||
|1311. (Kişisel Bakıma Yönelik Elektrikli Aletler)|2023||||||||||||74.94|
||2024|78.68|80.36|82.47|85.67|83.9|83.71|82.75|86.53|88.33|90.16|91.86|94.24|
||2025|96.89|95.27|96.88|99.29|97.55|99.09|99.73|102.23|102.18|102.98|101.03|106.89|
||2026|110.05||||||||||||
|13111. (Kişisel Bakıma Yönelik Elektrikli Aletler)|2023||||||||||||74.94|
||2024|78.68|80.36|82.47|85.67|83.9|83.71|82.75|86.53|88.33|90.16|91.86|94.24|
||2025|96.89|95.27|96.88|99.29|97.55|99.09|99.73|102.23|102.18|102.98|101.03|106.89|
||2026|110.05||||||||||||
|1312. (Kişisel Bakıma Yönelik Diğer Aletler, Malzemeler Ve Ürünler)|2023||||||||||||67.25|
||2024|70.06|71.67|73.48|75.92|77.61|79.42|81.33|82.42|83.88|84.29|86.64|88.09|
||2025|90.68|91.44|94.13|97.21|98.94|100.19|102.67|102.93|104.7|104.51|105.75|106.85|
||2026|108.45||||||||||||
|13120. (Kişisel Bakıma Yönelik Diğer Aletler, Malzemeler Ve Ürünler)|2023||||||||||||67.25|
||2024|70.06|71.67|73.48|75.92|77.61|79.42|81.33|82.42|83.88|84.29|86.64|88.09|
||2025|90.68|91.44|94.13|97.21|98.94|100.19|102.67|102.93|104.7|104.51|105.75|106.85|
||2026|108.45||||||||||||
|1313. (Kuaför Salonları Ve Kişisel Bakım Merkezleri)|2023||||||||||||44.13|
||2024|50.56|54.94|57.44|59.68|61.67|63.52|66.03|68.38|70.72|72.08|73.22|74.43|
||2025|83.59|90.25|92.55|95.01|97.32|100.1|102.31|104.32|106.57|107.88|109.29|110.82|
||2026|119.55||||||||||||
|13131. (Kuaförlük Hizmetleri)|2023||||||||||||42.34|
||2024|48.89|53.65|56.06|58.19|60.1|62.17|64.89|67.27|69.57|71.15|72.34|73.58|
||2025|82.87|89.81|92.52|94.95|97.25|100.07|102.58|104.61|106.73|108.07|109.48|111.07|
||2026|120.04||||||||||||
|13132. (Kişisel Bakım Hizmetleri)|2023||||||||||||50.27|
||2024|56.18|59.22|62.04|64.65|66.9|67.93|69.74|71.93|74.4|74.98|75.93|77.02|
||2025|85.78|91.59|92.64|95.21|97.51|100.22|101.5|103.4|106.08|107.31|108.71|110.05|
||2026|118.29||||||||||||
|132. (Diğer Kişisel Eşyalar)|2023||||||||||||66.23|
||2024|68.17|70.05|73.7|75.78|75.87|76.53|79.31|81.21|82.96|85.06|84.35|85.93|
||2025|86.41|90.76|92.11|95.5|97.28|99.7|101.33|101.83|105.22|109.31|108.97|111.57|
||2026|117.08||||||||||||
|1321. (Mücevherat Ve Kol Saatleri)|2023||||||||||||52.36|
||2024|54.89|55.77|61.63|63.9|63.64|63.75|65.7|68.35|71.45|74.62|74.07|74.77|
||2025|76.21|82.02|83.85|91.26|94.41|98.26|100.06|101.39|108.93|118.81|119.79|125.01|
||2026|138.97||||||||||||
|13211. (Mücevherat Ve Kol Saatleri)|2023||||||||||||52.36|
||2024|54.89|55.77|61.63|63.9|63.64|63.75|65.7|68.35|71.45|74.62|74.07|74.77|
||2025|76.21|82.02|83.85|91.26|94.41|98.26|100.06|101.39|108.93|118.81|119.79|125.01|
||2026|138.97||||||||||||
|1329. (Başka Yerde Sınıflandırılmamış Diğer Kişisel Eşyalar)|2023||||||||||||77.45|
||2024|78.83|81.57|83.2|85.07|85.48|86.61|90.08|91.3|91.81|92.94|92.1|94.43|
||2025|94.19|97.42|98.4|98.73|99.47|100.8|102.31|102.16|102.39|102.07|100.73|101.34|
||2026|101.95||||||||||||
|13291. (Başka Yerde Sınıflandırılmamış Seyahat Eşyaları, Bebekler İçin Malzemeler Ve Diğer Kişisel Eşyalar)|2023||||||||||||77.45|
||2024|78.83|81.57|83.2|85.07|85.48|86.61|90.08|91.3|91.81|92.94|92.1|94.43|
||2025|94.19|97.42|98.4|98.73|99.47|100.8|102.31|102.16|102.39|102.07|100.73|101.34|
||2026|101.95||||||||||||
|133. (Sosyal Koruma)|2023||||||||||||43.43|
||2024|49.89|54.14|54.69|55.1|56.62|57.94|60.67|62.52|77.44|79.44|79.89|80.19|
||2025|86.17|90.13|91.43|92.72|93.96|95.69|97.76|100.64|111.52|113.27|113.3|113.4|
||2026|119.3||||||||||||
|1330. (Sosyal Koruma)|2023||||||||||||43.43|
||2024|49.89|54.14|54.69|55.1|56.62|57.94|60.67|62.52|77.44|79.44|79.89|80.19|
||2025|86.17|90.13|91.43|92.72|93.96|95.69|97.76|100.64|111.52|113.27|113.3|113.4|
||2026|119.3||||||||||||
|13301. (Çocuk Bakım Hizmetleri)|2023||||||||||||43.43|
||2024|49.89|54.14|54.69|55.1|56.62|57.94|60.67|62.52|77.44|79.44|79.89|80.19|
||2025|86.17|90.13|91.43|92.72|93.96|95.69|97.76|100.64|111.52|113.27|113.3|113.4|
||2026|119.3||||||||||||
|139. (Diğer Hizmetler)|2023||||||||||||58.13|
||2024|68.74|69.55|69.89|74.77|74.85|74.97|75.18|75.45|75.72|80.58|83.37|83.56|
||2025|97.44|97.7|97.79|97.94|98.01|98.07|98.16|98.31|98.41|98.45|109.68|110.05|
||2026|119.74||||||||||||
